requirement,Component,Shape,Dimension,Color,Functionality,Domain,probable zone,css,type,Zone
Provide a volume slider for audio control,slider,rectangular,30x400,grey,"Selection, Adjustment","Industry, Automotive, consumer electrnoics",navigation_zone,"{
  ""sliderWrapper"": {
    ""width"": ""400px"",
    ""height"": ""30px"",
    ""display"": ""flex"",
    ""alignItems"": ""center"",
    ""justifyContent"": ""center"",
    ""backgroundColor"": ""white""
  },
  ""sliderTrack"": {
    ""width"": ""100%"",
    ""height"": ""6px"",
    ""backgroundColor"": ""lightgray"",
    ""borderRadius"": ""3px"",
    ""position"": ""relative""
  },
  ""sliderThumb"": {
    ""width"": ""20px"",
    ""height"": ""20px"",
    ""backgroundColor"": ""black"",
    ""borderRadius"": ""50%"",
    ""position"": ""absolute"",
    ""top"": ""-7px"",
    ""left"": ""50%"",
    ""transform"": ""translateX(-50%)"",
    ""cursor"": ""pointer""
  }
}",slider_icon.png,
System shall ensure display a progress bar for file uploads,File Upload,rectangular,20x400,grey,"Selection, drag and drop, size validation, uploading, storage","Industry, Automotive, consumer electrnoics",main_content_zone,"{
  ""uploadIconWrapper"": {
    ""width"": ""100px"",
    ""height"": ""100px"",
    ""display"": ""flex"",
    ""alignItems"": ""center"",
    ""justifyContent"": ""center"",
    ""backgroundColor"": ""white""
  },
  ""uploadIcon"": {
    ""width"": ""50px"",
    ""height"": ""50px"",
    ""border"": ""2px solid black"",
    ""borderTop"": ""none"",
    ""borderRadius"": ""0 0 5px 5px"",
    ""position"": ""relative"",
    ""boxSizing"": ""border-box""
  },
  ""arrowUp"": {
    ""width"": ""0"",
    ""height"": ""0"",
    ""borderLeft"": ""15px solid transparent"",
    ""borderRight"": ""15px solid transparent"",
    ""borderBottom"": ""25px solid black"",
    ""position"": ""absolute"",
    ""top"": ""-25px"",
    ""left"": ""10px""
  }
}",File Upload_icon.png,
Show a calendar for date selection.,Drop Down,rectangular,500x500,grey,"forms, filters, settings, and menus.","Industry, Automotive, consumer electrnoics",main_content_zone,"{
  ""dropdown"": {
    ""width"": ""500px"",
    ""height"": ""50px"",
    ""border"": ""1px solid gray"",
    ""borderRadius"": ""4px"",
    ""backgroundColor"": ""white"",
    ""display"": ""flex"",
    ""alignItems"": ""center"",
    ""justifyContent"": ""space-between"",
    ""padding"": ""0 10px"",
    ""boxShadow"": ""0 0 3px rgba(0, 0, 0, 0.2)""
  },
  ""dropdownText"": {
    ""flex"": ""1"",
    ""fontSize"": ""16px"",
    ""color"": ""black""
  },
  ""dropdownIcon"": {
    ""width"": ""50px"",
    ""height"": ""100%"",
    ""backgroundColor"": ""lightgray"",
    ""display"": ""flex"",
    ""alignItems"": ""center"",
    ""justifyContent"": ""center"",
    ""borderLeft"": ""1px solid gray"",
    ""cursor"": ""pointer""
  },
  ""icon"": {
    ""fontSize"": ""24px"",
    ""color"": ""black"",
    ""transform"": ""rotate(0deg)""
  }
}",Drop Down_icon.png,
Provide a password input field,Text Field,rectangular,50x400,blue,"login screens, search bars, and forms.","Industry, Automotive, consumer electrnoics",main_content_zone,"{
  ""textFieldWrapper"": {
    ""width"": ""300px"",
    ""height"": ""40px"",
    ""border"": ""2px solid black"",
    ""borderRadius"": ""4px"",
    ""backgroundColor"": ""white"",
    ""display"": ""flex"",
    ""alignItems"": ""center"",
    ""paddingLeft"": ""10px"",
    ""fontSize"": ""16px"",
    ""color"": ""black"",
    ""position"": ""relative""
  },
  ""textCursor"": {
    ""width"": ""2px"",
    ""height"": ""70%"",
    ""backgroundColor"": ""black"",
    ""position"": ""absolute"",
    ""left"": ""12px"",
    ""animation"": ""blink 1s step-start 0s infinite""
  },
  ""@keyframes blink"": {
    ""0%"": { ""opacity"": ""1"" },
    ""50%"": { ""opacity"": ""0"" },
    ""100%"": { ""opacity"": ""1"" }
  }
}",Text Field_icon.png,
The system shall display a customizable logo/avatar for user identification.,Logo/Avatar,Square,100x100,black,"branding, profile pages, and dashboards.","Industry, Automotive, consumer electrnoics",header_zone,"{
  ""avatar-container"": {
    ""position"": ""relative"",
    ""width"": ""100px"",
    ""height"": ""100px"",
    ""border"": ""4px solid black"",
    ""borderRadius"": ""50%"",
    ""display"": ""flex"",
    ""alignItems"": ""center"",
    ""justifyContent"": ""center"",
    ""boxSizing"": ""border-box""
  },
  ""avatar-head"": {
    ""position"": ""absolute"",
    ""top"": ""20px"",
    ""width"": ""30px"",
    ""height"": ""30px"",
    ""backgroundColor"": ""black"",
    ""borderRadius"": ""50%""
  },
  ""avatar-body"": {
    ""position"": ""absolute"",
    ""top"": ""50px"",
    ""width"": ""40px"",
    ""height"": ""30px"",
    ""borderTop"": ""4px solid black"",
    ""borderLeft"": ""4px solid black"",
    ""borderRight"": ""4px solid black"",
    ""borderBottom"": ""none"",
    ""borderRadius"": ""20px 20px 0 0""
  }
}",Logo/Avatar_icon.png,
The system shall display a temporary toast notification with contextual information.,Toast bar,rectangular,240x164,black,quick notifications and confirmations,"Industry, Automotive, consumer electrnoics",header_zone,,Toast bar_icon.png,
The snack bar shall provide user feedback with an option to include an action button.,Snack bar,rectangular,240x48,black,"warnings, alerts, and success messages","Industry, Automotive, consumer electrnoics",header_zone,,Snack bar_icon.png,
The system shall display a pop-up for critical alerts that require user action.,pop-up,rectangular,400x300,black,"modals, login prompts, and alerts","Industry, Automotive, consumer electrnoics",header_zone,,pop-up_icon.png,
The system shall support user input forms with validation and submission feedback.,form,rectangular,400x600,blue,"data input, sign-up, and checkout.","Industry, Automotive, consumer electrnoics",main_content_zone,,form_icon.png,
The system shall provide visual indicators for real-time status updates.,indicator,Square,200x200,black,"status updates (e.g., online/offline)","Industry, Automotive, consumer electrnoics",main_content_zone,,indicator_icon.png,
